,name,parroquia,concellu,province,key,time_signature
160,Muiñeira de Cangas,,Cangas,Pontevedra,C major,6/8
161,Muiñeira de Cangas,,Cangas,Pontevedra,C major,6/8
162,Muiñeira de Cangas,,Cangas,Pontevedra,C major,6/8
163,Muiñeira de Cangas,,Cangas,Pontevedra,C major,6/8
164,Muiñeira de Poio,,Poio,Pontevedra,C major,6/8
165,Muiñeira de Vilanova,,Vilanova,Pontevedra,C major,6/8
166,Muiñeira do Morrazo,O Morrazo,,Pontevedra,C major,6/8
167,Muiñeira de Muradelle,Muradelle,Chantada,Lugo,C major,6/8
168,Muiñeira de Poio,,Poio,Pontevedra,C major,6/8
169,Muiñeira de Negros,Negros,Redondela,Pontevedra,C major,6/8
170,Muiñeira de Visma,,Visma,A Coruña,C major,6/8
171,Muiñeira de Froxán,Froxán,Folgoso do Courel,Lugo,C major,6/8
172,Muiñeira de Froxán,Froxán,Folgoso do Courel,Lugo,C major,6/8
173,Muiñeira de Froxán,Froxán,Folgoso do Courel,Lugo,C major,6/8
174,Muiñeira de Poio,Poio,Pontevedra,,C major,6/8
175,Muiñeira de Poio,Poio,Pontevedra,,C major,6/8
176,Muiñeira de Poio,Poio,Pontevedra,,d minor,6/8
177,Muiñeira de Poio,Poio,Pontevedra,,F major,6/8
178,Muiñeira de Poio,Poio,Pontevedra,,F major,6/8
179,Muiñeira de Cesures,Cesures,Redondela,Pontevedra,C major,6/8
180,Muiñeira de Poio,Poio,Pontevedra,,C major,6/8
181,Muiñeira de Forcarei,,Forcarei,Pontevedra,C major,6/8
182,Muiñeira do Morrazo,O Morrazo,,Pontevedra,F major,6/8
183,Muiñeira de Poio,,Poio,Pontevedra,C major,6/8
184,Muiñeira de Piornedo,Piornedo,Cervantes,Lugo,C major,6/8
185,Muiñeira de Lougares,Lougares,Mondariz,Pontevedra,F major,6/8
186,Muiñeira de Ponteareas,,Ponteareas,Pontevedra,C major,6/8
187,Muiñeira do Chao,O Chao,O Barco de Valdeorras,Ourense,C major,6/8
188,Muiñeira de Lugo,,Lugo,Lugo,C major,6/8
189,Muiñeira do Molete,,,Pontevedra,C major,6/8
190,Muiñeira do Molete,,,Pontevedra,C major,6/8
191,Muiñeira do Morrazo,O Morrazo,,Pontevedra,C major,6/8
192,Muiñeira do Morrazo,O Morrazo,,Pontevedra,C major,6/8
193,Muiñeira do Morrazo,O Morrazo,,Pontevedra,C major,6/8
194,Muiñeira de Oitavén,Oitavén,,Pontevedra,C major,6/8
195,Muiñeira de Neaño,Neaño,Bergantiños,A Coruña,C major,6/8
196,Muiñeira de Laxe,Laxe,A Coruña,,C major,6/8
197,Muiñeira de Fonmaior,,A Fonsagrada,Lugo,C major,6/8
198,Muiñeira de Ibias,,Ibias,Asturies,F major,6/8
199,Muiñeira de Ibias,,Ibias,Asturies,F major,6/8
200,Muiñeira de Valdeferreiros,Valdeferreiros,Ibias,Asturies,C major,6/8
201,Muiñeira de Liñeiro,Liñeiro,Muxía,A Coruña,G major,6/8
202,Muiñeira,,Lugo,Lugo,C major,6/8
203,Muiñeira,,Portomarín,Lugo,C major,6/8
204,Muiñeira de Curuxeiras,Curuxeiras,Arzúa,A Coruña,C major,6/8
205,Muiñeira de Curuxeiras,Curuxeiras,Arzúa,A Coruña,C major,6/8
206,Muiñeira de Ramelle,Ramelle,Friol,Lugo,c minor,6/8
207,Muiñeira de Lobios,Lobios,Muiños,Ourense,C major,6/8
208,Mariñas de Betanzos,,Betanzos,A Coruña,C major,6/8
209,Mariñas de Betanzos,,Betanzos,A Coruña,C major,6/8
210,Muiñeira de Albarellos,Albarellos,Monterrei,Ourense,G major,6/8
211,Muiñeira de Carelle,Carelle,Sobrado,A Coruña,a minor,9/8
212,Muiñeira de Arantón,Arantón,Santa Comba,A Coruña,C major,6/8
213,Muiñeira de Pradela,Pradela,Os Ancares,Lugo,C major,6/8
214,Muiñeira,A Seara de Montes,Cartelle,Ourense,C major,6/8
215,Muiñeira de Vilouchada,Vilouchada,Trazo,A Coruña,e minor,6/8
216,Muiñeira de Señorans,Cereixo,A Estrada,Pontevedra,C major,6/8
217,Muiñeira do Carballal,Carballal,Folgoso do Courel,Lugo,C major,6/8
218,O Gaiteiro de Torbolosiño,Santa Eufemia,Folgoso do Courel,Lugo,C major,6/8
219,Muiñeira de Parada de Achas,Parada de Achas,A Cañiza,Pontevedra ,c minor,6/8
220,Muiñeira,,Ponte Caldelas,Pontevedra,F major,6/8
221,Muiñeira de Chancelas,Chancelas,Combarro,Pontevedra,c minor,4/4
222,Ruada de Allariz,,Allariz,Ourense,C major,6/8
223,Muiñeira de Redonda,Redonda,Corcubión,A Coruña,C major,6/8
224,Muiñeira de Abellá,Abellá,Frades,A Coruña,C major,6/8
225,Muiñeira de Anceis,Anceis,Cambre,A Coruña,C major,6/8
226,As Festas de Marnela,Marnela,Valdoviño,A Coruña,C major,6/8
