,id,name,parroquia,concellu,province,key,time_signature,ratio_negras_corcheas
115,196,Muiñeira de Cernades,Cernades,,Pontevedra,a minor,6/8,0.21052631578947367
116,200,Muiñeira Vella de Dombate,,Dombate,A Coruña,C major,6/8,0.2597402597402597
117,202,Muiñeira,,Pontevedra,Pontevedra,C major,6/8,0.16292134831460675
118,203,Muiñeira do Condado,O Condado,Pontevedra,,C major,6/8,0.10638297872340426
119,204,Muiñeira de Lavadores,Lavadores,Vigo,Pontevedra,F major,6/8,0.10526315789473684
120,205,Muiñeira de Albite,Albite,Beariz,Ourense,C major,6/8,0.13095238095238096
121,206,Muiñeira Vella de Alvite,Alvite,Curtis,A Coruña,C major,6/8,0.14942528735632185
122,212,Muiñeira de Cabana,,Cabana,A Coruña,c minor,6/8,0.1349206349206349
123,216,Muiñeira de Lañas,Lañas,Arteixo,A Coruña,C major,6/8,0.11538461538461539
124,219,Muiñeira de Chantada,,Chantada,Lugo,C major,6/8,0.3888888888888889
125,222,Muiñeira de Santaia de Moar,Moar,Frades,A Coruña,C major,6/8,0.14814814814814814
126,223,Muiñeira de Rubiás,Rubiás,Calvos de Randín,Ourense,C major,6/8,0.3020833333333333
127,224,Muiñeira de Viceso,Viceso,Brión,A Coruña,C major,6/8,0.06
128,225,Muiñeira das Mariñas,As Mariñas,,A Coruña,C major,6/8,0.10884353741496598
129,226,Muiñeira,,A Fonsagrada,Lugo,G major,6/8,0.19801980198019803
130,232,Muiñeira de Riotorto,,Riotorto,Lugo,C major,6/8,0.19607843137254902
131,234,Muiñeira de Meiraos,Meiraos,Folgoso do Caurel,Lugo,a minor,6/8,0.18571428571428572
132,235,Muiñeira de Freixido,Freixido,Larouco,Ourense,C major,6/8,0.14792899408284024
133,236,Muiñeira,Lugariño de Imende,Carballo,A Coruña,F major,6/8,1.3902439024390243
134,237,Muiñeira de Buscás,Buscás,Ordes,A Coruña,C major,6/8,0.29850746268656714
135,238,Muiñeira,Xirazga,Beariz,Ourense,c minor,6/8,2.1363636363636362
136,239,Muiñeira dos gaiteiros de Sar,O Sar,,A Coruña,C major,6/8,0.15217391304347827
137,240,Muiñeira de Bergantiños,Bergantiños,,A Coruña,C major,6/8,0.23222748815165878
138,241,Muiñeira da Ponte de Outeiro,San Martín de Corbelle,A Pastoriza,Lugo,C major,6/8,0.12359550561797752
139,242,Muiñeira de Ferreira de Pantón,San Iago de Castillón,Pantón,Lugo,C major,6/8,0.42105263157894735
140,243,Muiñeira de Vilantime,,Arzúa,A Coruña,C major,6/8,0.16455696202531644
141,244,Muiñeira do Castrillón,Bretoña,Pastoriza,Lugo,C major,6/8,0.3161764705882353
142,245,Muiñeira de Castrillón,Bretoña,A Pastoriza,Lugo,C major,6/8,0.3883495145631068
143,246,Muiñeira de Guitizá,A Porta,O Sobrado,A Coruña,C major,6/8,0.5283018867924528
144,249,Muiñeira do Areal,Areal,,Lugo,C major,6/8,0.13445378151260504
145,250,Muiñeira do Areal,Areal,,Lugo,C major,6/8,0.20952380952380953
146,251,Muiñeira de Mazaricos,,Mazaricos,A Coruña,F major,6/8,0.05825242718446602
147,255,Muiñeira de Melide,,Melide,A Coruña,d minor,6/8,0.08
148,256,Muiñeira de Veiga de Forcas,Veiga de Forcas,Lugo,Lugo,f minor,6/8,0.1643835616438356
149,259,Muiñeira de Cangas,,Cangas,Pontevedra,C major,6/8,0.1794871794871795
