id,name,key,time_signature,ratio_negras_corcheas,muiñeira_type,lat,lon,count_seventh,seventh_ratio,location,classification
242,Muiñeira de Ferreira de Pantón,C major,6/8,0.4210526315789473,C1,42.50859375,-7.6423645799426865,17,0.0639097744360902,"San Iago de Castillón, Pantón, Lugo",Not classified
243,Muiñeira de Vilantime,C major,6/8,0.1645569620253164,C1,42.9279921,-8.1605667,8,0.08,"Arzúa, A Coruña",Not classified
244,Muiñeira do Castrillón,C major,6/8,0.3161764705882353,C1,43.3395116,-7.3297908,0,0.0,"Bretoña, Pastoriza, Lugo",A Fonsagrada-Asturias
245,Muiñeira de Castrillón,C major,6/8,0.3883495145631068,,43.3395116,-7.3297908,9,0.0957446808510638,"Bretoña, A Pastoriza, Lugo",A Fonsagrada-Asturias
246,Muiñeira de Guitizá,C major,6/8,0.5283018867924528,C2,43.03607855,-8.01822383178772,11,0.0614525139664804,"A Porta, O Sobrado, A Coruña",Not classified
249,Muiñeira do Areal,C major,6/8,0.134453781512605,C1,43.0462247,-7.4739921,11,0.0763888888888889,Lugo,Not classified
250,Muiñeira do Areal,C major,6/8,0.2095238095238095,C1,43.0462247,-7.4739921,3,0.037037037037037,Lugo,Not classified
251,Muiñeira de Mazaricos,F major,6/8,0.058252427184466,C2,42.9364002,-8.9904506,18,0.1285714285714285,"Mazaricos, A Coruña",Costa do Morte
255,Muiñeira de Melide,d minor,6/8,0.08,C2,42.9145741,-8.0136139,14,0.1068702290076335,"Melide, A Coruña",Not classified
256,Muiñeira de Veiga de Forcas,f minor,6/8,0.1643835616438356,C2,42.6879835,-7.0831654,8,0.0727272727272727,"Veiga de Forcas, Lugo, Lugo",Courel
259,Muiñeira de Cangas,C major,6/8,0.1794871794871795,C1,42.2647235,-8.7796487,2,0.0185185185185185,"Cangas, Pontevedra",Rias Baixas
260,Muiñeira da Fonsagrada,C major,6/8,0.0814814814814814,C2,43.1248311,-7.0676605,0,0.0,"A Fonsagrada, Lugo",A Fonsagrada-Asturias
261,Muiñeira,C major,6/8,0.352112676056338,C2,41.9999255,-7.6937387,3,0.0326086956521739,"Laroá, A Limia, Ourense",Portuguese Border
263,Muiñeira de Cartelle,C major,6/8,0.3214285714285714,C2,42.2492308,-8.0688652,17,0.1164383561643835,"Cartelle, Ourense",Not classified
264,Muiñeira de Monforte,C major,6/8,0.3584905660377358,C2,42.5236693,-7.5096951,3,0.03125,"Monforte de Lemos, Lugo",Not classified
265,Maruxa,C major,6/8,0.1958762886597938,C2,43.3709703,-8.3959425,4,0.0493827160493827,"Coruña, A Coruña",Not classified
269,Muineira de Garceiras,C major,6/8,0.0941176470588235,C2,42.9284809,-8.0077901,5,0.0342465753424657,"Garceiras, Melide, A Coruña",Not classified
270,Muiñeira de Sexo,d minor,6/8,0.3559322033898305,C2,42.6075172,-8.4714942,6,0.05,Pontevedra,Rias Baixas
271,Muiñeira de Santa Maria de Oleiros,C major,6/8,0.2795698924731182,C2,43.3330642,-8.3170764,2,0.0104166666666666,"Santa Maria de Oleiros, Oleiros, A Coruña",A Coruña
